resp,S1,S2,S3
1,../images/landscape/original.jpg,../images/landscape/30_scaled.jpg,../images/landscape/95_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/30_scaled.jpg,../images/landscape/75_scaled.jpg
0,../images/landscape/30_scaled.jpg,../images/landscape/60_scaled.jpg,../images/landscape/75_scaled.jpg
0,../images/landscape/95_scaled.jpg,../images/landscape/85_scaled.jpg,../images/landscape/75_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/x2_scaled.jpg,../images/landscape/x4_scaled.jpg
0,../images/landscape/85_scaled.jpg,../images/landscape/30_scaled.jpg,../images/landscape/original.jpg
1,../images/landscape/30_scaled.jpg,../images/landscape/75_scaled.jpg,../images/landscape/95_scaled.jpg
1,../images/landscape/x4_scaled.jpg,../images/landscape/x8_scaled.jpg,../images/landscape/x16_scaled.jpg
0,../images/landscape/original.jpg,../images/landscape/60_scaled.jpg,../images/landscape/75_scaled.jpg
0,../images/landscape/95_scaled.jpg,../images/landscape/75_scaled.jpg,../images/landscape/60_scaled.jpg
1,../images/landscape/30_scaled.jpg,../images/landscape/75_scaled.jpg,../images/landscape/85_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/75_scaled.jpg,../images/landscape/95_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/85_scaled.jpg,../images/landscape/95_scaled.jpg
1,../images/landscape/x2_scaled.jpg,../images/landscape/x4_scaled.jpg,../images/landscape/x8_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/x2_scaled.jpg,../images/landscape/x16_scaled.jpg
0,../images/landscape/95_scaled.jpg,../images/landscape/60_scaled.jpg,../images/landscape/30_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/x8_scaled.jpg,../images/landscape/x16_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/x4_scaled.jpg,../images/landscape/x16_scaled.jpg
1,../images/landscape/60_scaled.jpg,../images/landscape/75_scaled.jpg,../images/landscape/85_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/60_scaled.jpg,../images/landscape/95_scaled.jpg
0,../images/landscape/85_scaled.jpg,../images/landscape/60_scaled.jpg,../images/landscape/original.jpg
0,../images/landscape/85_scaled.jpg,../images/landscape/75_scaled.jpg,../images/landscape/original.jpg
1,../images/landscape/original.jpg,../images/landscape/30_scaled.jpg,../images/landscape/60_scaled.jpg
0,../images/landscape/x8_scaled.jpg,../images/landscape/x2_scaled.jpg,../images/landscape/original.jpg
0,../images/landscape/85_scaled.jpg,../images/landscape/60_scaled.jpg,../images/landscape/30_scaled.jpg
1,../images/landscape/original.jpg,../images/landscape/x4_scaled.jpg,../images/landscape/x8_scaled.jpg
1,../images/landscape/60_scaled.jpg,../images/landscape/85_scaled.jpg,../images/landscape/95_scaled.jpg
0,../images/landscape/x16_scaled.jpg,../images/landscape/x4_scaled.jpg,../images/landscape/x2_scaled.jpg
0,../images/landscape/95_scaled.jpg,../images/landscape/85_scaled.jpg,../images/landscape/30_scaled.jpg
1,../images/landscape/x2_scaled.jpg,../images/landscape/x8_scaled.jpg,../images/landscape/x16_scaled.jpg
